chr1	8874554	9014553	0.3003043
chr1	15844554	16184553	0.3844148
chr1	17214554	17344553	0.2589878
chr1	20914554	21044553	0.3509554
chr1	21494554	21774553	0.2736012
chr1	69514554	70884553	0.2807442
chr1	156534554	156564553	0.2967085
chr1	157514554	157674553	0.3472581
chr1	158894554	159034553	0.3276090
chr1	159764554	159834553	0.2893435
chr1	167054554	167694553	0.4581049
chr1	173984554	174994553	0.3456364
chr1	203594554	203834553	0.3259891
chr1	204374554	204494553	0.3688442
chr1	209854554	209964553	0.2991023
chr1	222754554	222994553	0.4139011
chr1	226594554	227064553	0.3744006
chr1	236304554	236774553	0.4497784
chr1	241674554	241824553	0.3753791
chr2	8818814	9148813	0.3743222
chr2	10578814	10858813	0.3657997
chr2	54008814	54348813	0.4067661
chr2	68538814	68698813	0.2801005
chr2	71348814	71508813	0.2986656
chr2	95688814	95948813	0.3304276
chr2	114508814	114608813	0.3387148
chr2	118568814	118778813	0.3079055
chr2	165698814	165818813	0.3157476
chr2	173288814	174838813	0.3607296
chr2	208388814	208688813	0.3962313
chr2	216898814	217238813	0.3350526
chr2	233398814	234118813	0.3980537
chr3	235431	5165430	0.2472258
chr3	18485431	20085430	0.3873483
chr3	31565431	33265430	0.3979125
chr3	105085431	106965430	0.3185916
chr3	119495431	120405430	0.2954732
chr3	140655431	141215430	0.3342569
chr3	158285431	158455430	0.3413009
chr4	4283179	4353178	0.3031255
chr4	5703179	6203178	0.2933494
chr4	25863179	26583178	0.3734258
chr4	54243179	54933178	0.2864556
chr4	55983179	56423178	0.2939696
chr4	100573179	100823178	0.3803878
chr4	113063179	113573178	0.3548751
chr4	122713179	122793178	0.3746882
chr4	146093179	146543178	0.3233423
chr4	153453179	153823178	0.2926673
chr4	159113179	159693178	0.4021245
chr4	186063179	186323178	0.3058655
chr5	55762266	55902265	0.2952257
chr5	90512266	90582265	0.3611645
chr5	96142266	96272265	0.2908984
chr5	154062266	154242265	0.2864406
chr5	171502266	172412265	0.3180986
