chr1	6234554	7844553	0.4667594	6524554	8094553	0.3516498	0.709677419
chr1	9344554	10004553	0.5090349	9594554	9894553	0.4390104	0.454545455
chr1	10484554	11824553	0.4861528	11714554	11804553	0.3111814	0.067164179
chr1	11984554	12294553	0.4509502	11984554	12234553	0.5006057	0.806451613
chr1	23374554	24294553	0.4478048	23344554	24134553	0.3883350	0.800000000
chr1	25554554	26234553	0.5066299	25554554	26194553	0.3736258	0.941176471
chr1	27994554	28914553	0.5214040	28094554	28834553	0.4886740	0.804347826
chr1	32404554	33284553	0.4888199	32394554	33174553	0.4452482	0.865168539
chr1	33434554	33804553	0.4444359	33544554	33804553	0.3803557	0.702702703
chr1	35324554	36934553	0.5298037	35444554	36934553	0.4770606	0.925465839
chr1	37934554	38474553	0.3836374	37964554	38064553	0.3093744	0.185185185
chr1	42914554	43434553	0.3740774	42844554	42934553	0.3597603	0.033898305
chr1	43764554	44454553	0.5160744	43794554	43924553	0.4745483	0.188405797
chr1	51804554	53194553	0.4752436	51804554	53164553	0.4582232	0.978417266
chr1	65204554	65524553	0.3389035	65424554	65534553	0.3037562	0.303030303
chr1	85154554	85734553	0.3956640	85454554	85744553	0.3483955	0.474576271
chr1	87834554	91974553	0.4754618	87164554	89744553	0.4010767	0.397089397
chr1	92624554	93914553	0.4618062	92674554	93914553	0.4249650	0.961240310
chr1	113494554	114454553	0.5069113	113494554	114414553	0.4490229	0.958333333
chr1	144984554	145734553	0.4905913	144984554	145614553	0.4264619	0.840000000
chr1	149854554	151324553	0.5415756	149904554	151304553	0.5129403	0.952380952
chr1	156694554	156834553	0.5127941	156694554	156724553	0.3761664	0.214285714
chr1	161004554	161604553	0.5307638	161064554	161554553	0.4451357	0.816666667
chr1	169334554	169634553	0.3804303	169334554	169564553	0.3403815	0.766666667
chr1	222754554	222994553	0.4139011	222714554	222914553	0.3633364	0.571428571
chr1	224624554	226114553	0.3244851	224614554	225844553	0.4615832	0.813333333
chr1	226594554	227064553	0.3744006	226734554	227064553	0.3158857	0.702127660
