chr1	16534554	16764553	0.4173621
chr1	22954554	22984553	0.3582773
chr1	115254554	115324553	0.2881535
chr1	158164554	158264553	0.3365191
chr1	173674554	173844553	0.2875187
chr1	180794554	180994553	0.3937381
chr1	183434554	183564553	0.3152672
chr1	186264554	186374553	0.3815315
chr1	197164554	197874553	0.3121637
chr1	231464554	231664553	0.4192635
chr1	235084554	235674553	0.3078048
chr2	9558814	9698813	0.3645355
chr2	65278814	65458813	0.3314157
chr2	90118814	90218813	0.3498540
chr2	187348814	187458813	0.2990721
chr2	200708814	200828813	0.3097413
chr2	224698814	224908813	0.3040138
chr3	39145431	39235430	0.2880261
chr3	112465431	112695430	0.2834592
chr3	124995431	125245430	0.3411313
chr3	126185431	126285430	0.3233918
chr3	127315431	127775430	0.3557573
chr3	160275431	160475430	0.3184853
chr4	6773179	7053178	0.3998577
chr4	37453179	37833178	0.2853064
chr4	185733179	185783178	0.3921385
chr5	31872266	32452265	0.3649457
chr5	56102266	56272265	0.2983462
chr5	169652266	169742265	0.2464932
chr6	3981910	4081909	0.3194134
chr6	10631910	10731909	0.3314512
chr6	17701910	17991909	0.4013159
chr6	64021910	66421909	0.2864068
chr6	71271910	71671909	0.3245981
chr6	116421910	116581909	0.3226048
chr8	6782601	6842600	0.3261745
chr8	59322601	60032600	0.3264310
chr8	82592601	82652600	0.2808298
chr8	120682601	120872600	0.3134932
chr8	130902601	131022600	0.4245220
chr9	71021056	71401055	0.3027637
chr10	26720001	26880000	0.3105526
chr10	35370001	35430000	0.2849127
chr10	95650001	96130000	0.3070604
chr10	127400001	127470000	0.2989430
chr11	1851279	1921278	0.3498458
chr11	18411279	18611278	0.3671813
chr11	43331279	43581278	0.3355106
chr11	59381279	59581278	0.4496634
chr11	59921279	60051278	0.3684934
chr11	105891279	107191278	0.4452992
chr11	126081279	126231278	0.3646836
chr12	10507607	10607606	0.3633410
chr12	12417607	12767606	0.3332663
chr12	48347607	48597606	0.3692828
chr12	89407607	89987606	0.3441019
chr13	28704637	29074636	0.2894996
chr14	31923848	32423847	0.3113937
chr14	65163848	65453847	0.3603708
chr14	70033848	70193847	0.2661418
chr14	88453848	88493847	0.3148870
chr14	96113848	96183847	0.3290942
chr15	52583998	52863997	0.3316803
chr15	81063998	81293997	0.2960856
chr16	46734043	47014042	0.3455613
chr16	81034043	81134042	0.3107238
chr17	38594961	38674960	0.2999822
chr17	65234961	65374960	0.3261735
chr18	59991103	60391102	0.2805933
chr20	808351	988350	0.3846486
chr20	43508351	43738350	0.2977689
chrX	67230091	68390090	0.3068201
chrX	101900091	101980090	0.3400163
